사업장명,시도명,시군구명,사업장업종명,세차유형,소재지도로명주소,휴무일,평일운영시작시각,평일운영종료시각,휴일운영시작시각,휴일운영종료시각,세차요금정보,대표자명,세차장전화번호,수질허가번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
㈜지에스이앤알 Gself 세차장 분당점,경기도,성남시,세차(셀프세차),셀프세차,경기도 성남시 분당구 대왕판교로 174-1,,09:00,18:00,,,,정찬수,031-718-8245,Feb-20,37.358906,127.102289,2020-06-01,3780000,경기도 성남시
양천구주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 국회대로 275(목동),우천시,08:00,18:00,08:00,18:00,,최형원,02-2644-5105,1993-07-07,37.5303726383,126.8655136455,2020-06-02,3140000,서울특별시 양천구
세븐모터스,서울특별시,양천구,자동차 세차업,손세차,서울특별시 양천구 목동동로10길 8(신정동),우천시,08:00,18:00,08:00,18:00,,윤성태,02-2642-8214,1994-03-22,37.5186366367,126.8707562223,2020-06-02,3140000,서울특별시 양천구
신월세차장,서울특별시,양천구,자동차 세차업,손세차,서울특별시 양천구 오목로 40(신월동),우천시,08:00,18:00,08:00,18:00,,변창규,02-2698-4449,1994-04-16,37.5217196,126.8420675840,2020-06-02,3140000,서울특별시 양천구
세원자동차공업사,서울특별시,양천구,자동차 세차업,손세차,서울특별시 양천구 곰달래로6길 40(신월동),우천시,08:00,18:00,08:00,18:00,,강이숙,02-2605-1203,1994-06-27,37.5266002,126.8365953342,2020-06-02,3140000,서울특별시 양천구
현대주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 남부순환로 372(신월동),우천시,08:00,18:00,08:00,18:00,,윤정헌,02-2605-2790,1994-11-04,37.5339080509,126.8291800821,2020-06-02,3140000,서울특별시 양천구
SK네트웍스(주) KOREA주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 신목로7길 1(신정동),우천시,08:00,18:00,08:00,18:00,,대표이사,02-2646-6121,1994-11-04,37.5195861,126.8719445797,2020-06-02,3140000,서울특별시 양천구
SK에너지(주) 신평주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 목동남로 62(신정동),우천시,08:00,18:00,08:00,18:00,,대표이사,02-2654-5145,1996-03-11,37.5093608,126.8662389620,2020-06-02,3140000,서울특별시 양천구
(주)서부티엔디주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 신정로 167(신정동),우천시,08:00,18:00,08:00,18:00,,대표이사,02-2614-0047,1996-06-05,37.5093464129,126.8418855754,2020-06-02,3140000,서울특별시 양천구
메트로셀프세차장,서울특별시,양천구,자동차 세차업,셀프세차,서울특별시 양천구 국회대로 210(신정동),우천시,07:00,22:00,07:00,22:00,,양동수 외 1명,02-2690-8472,1997-07-21,37.5287061592,126.8581313244,2020-06-02,3140000,서울특별시 양천구
코스모스 손 세차장,서울특별시,양천구,자동차 세차업,손세차,서울특별시 양천구 월정로 67(신월동),우천시,08:00,18:00,08:00,18:00,,지영우,02-2694-1919,1997-10-16,37.5256242767,126.8408059222,2020-06-02,3140000,서울특별시 양천구
신목동세차장,서울특별시,양천구,자동차 세차업,셀프세차+손세차+자동세차,서울특별시 양천구 목동동로10길 13(신정동),우천시,07:00,22:00,07:00,22:00,,이승재,02-2646-5188,1998-05-15,37.5191163005,126.8710585523,2020-06-02,3140000,서울특별시 양천구
서호오일서비스,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 남부순환로 317(신월동),우천시,08:00,18:00,08:00,18:00,,문규만,02-2602-5172,1998-12-31,37.5385514,126.8270150855,2020-06-02,3140000,서울특별시 양천구
SK네트웍스(주) SK OK주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 안양천로 1179(목동),우천시,08:00,18:00,08:00,18:00,,대표이사,02-2653-5189,1999-04-29,37.5458102,126.8814412205,2020-06-02,3140000,서울특별시 양천구
(주)부흥에너지 평화주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 안양천로 657(신정동),우천시,08:00,18:00,08:00,18:00,,대표이사,02-2647-2122,2000-04-03,37.5058603399,126.8706968202,2020-06-02,3140000,서울특별시 양천구
진성자동차공업사,서울특별시,양천구,자동차 세차업,손세차,서울특별시 양천구 은행정로 10(신정동),우천시,08:00,18:00,08:00,18:00,,임용대,02-2647-5177,2000-08-29,37.5206146,126.8600380111,2020-06-02,3140000,서울특별시 양천구
(주)삼표에너지 목동주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 목동서로 129(목동),우천시,08:00,18:00,08:00,18:00,,대표이사,02-2654-5152,2001-04-21,37.5321640067,126.8755389896,2020-06-02,3140000,서울특별시 양천구
건지오일로,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 안양천로 1171(목동),우천시,08:00,18:00,08:00,18:00,,송영석,02-2644-5108,2001-04-21,37.5453145753,126.8821527134,2020-06-02,3140000,서울특별시 양천구
신양주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 지양로 67(신월동),우천시,08:00,18:00,08:00,18:00,,최진걸,02-2608-3312,2001-06-18,37.5215277796,126.8338689362,2020-06-02,3140000,서울특별시 양천구
(주)대흥가스,서울특별시,양천구,차량용 가스 충전업,자동세차,서울특별시 양천구 남부순환로 411(신월동),우천시,08:00,18:00,08:00,18:00,,대표이사,02-2693-0535,2001-07-20,37.5312304248,126.8317928568,2020-06-02,3140000,서울특별시 양천구
(주)지에스이앤알 서울주유소,서울특별시,양천구,차량용 주유소 운영업,자동세차,서울특별시 양천구 신정로 236(신정동),우천시,08:00,18:00,08:00,18:00,,대표이사,02-2607-9478,2001-11-20,37.5105176,126.8477192389,2020-06-02,3140000,서울특별시 양천구
신정카센타,서울특별시,양천구,자동차 세차업,손세차,서울특별시 양천구 중앙로32길 33(신정동),우천시,08:00,18:00,08:00,18:00,,문성식,02-2645-4534,2002-02-19,37.5193362,126.8574566998,2020-06-02,3140000,서울특별시 양천구
대지손세차장,서울특별시,양천구,자동차 세차업,손세차,서울특별시 양천구 곰달래로14길 20(신월동),우천시,08:00,18:00,08:00,18:00,,이병태,02-2601-8577,2002-09-13,37.5284319736,126.8382838906,2020-06-02,3140000,서울특별시 양천구
현대자동차공업사,서울특별시,양천구,자동차 세차업,손세차,서울특별시 양천구 신정로11길 50-13(신정동),우천시,08:00,18:00,08:00,18:00,,이종삼,02-2615-5541,2002-12-18,37.5121247,126.8382013346,2020-06-02,3140000,서울특별시 양천구
수도에너지(주),서울특별시,양천구,차량용 가스 충전업,자동세차,서울특별시 양천구 신정로 146(신정동),우천시,08:00,18:00,08:00,18:00,,김남희,02-2060-7160,2003-01-15,37.5069999044,126.8389996870,2020-06-02,3140000,서울특별시 양천구
대명셀프세차타운,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 해망로 9 (대명동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,최창운,063-445-3222,4670000-22-2010-00007,35.976385,126.723649,2019-09-06,4670000,전라북도 군산시
녹양LPG충전소,경기도,의정부시,주유소,,경기도 의정부시 평화로 801,,,,,,,서유석,031-848-8894,3820000-22-2010-00002,37.7633438,127.0432976,2019-04-01,3820000,경기도 의정부시
복지북부충전소,경기도,의정부시,주유소,,경기도 의정부시 평화로 75,,,,,,,대표이사,031-871-5541,3820000-22-2009-00006,37.6990562,127.045179,2019-04-01,3820000,경기도 의정부시
(주)신사,경기도,의정부시,주유소,,경기도 의정부시 호국로 937,,,,,,,안창섭,031-871-9700,3820000-22-2009-00002,37.7368714,127.0098253,2019-04-01,3820000,경기도 의정부시
백석세차장,경기도,의정부시,세차장,,경기도 의정부시 평화로561번길 6,,,,,,,홍성재,031-848-0406,3820000-22-2008-00005,37.7421062,127.046477,2019-04-01,3820000,경기도 의정부시
명품광택코팅세차전문점,경기도,의정부시,세차장,,경기도 의정부시 녹양로 106,,,,,,,나상철,031-847-1793,3820000-22-2008-00004,37.7600683,127.0351709,2019-04-01,3820000,경기도 의정부시
중앙세차장,경기도,의정부시,세차장,,경기도 의정부시 호국로1067번길 4,,,,,,,한정애,031-877-6945,3820000-22-2008-00003,37.7425523,127.022392,2019-04-01,3820000,경기도 의정부시
엔카세차장,경기도,의정부시,세차장,,경기도 의정부시 입석로 58,,,,,,,유효식,031-836-0047,3820000-22-2008-00001,37.7553568,127.0196566,2019-04-01,3820000,경기도 의정부시
세진24시셀프세차,경기도,의정부시,세차장,,경기도 의정부시 용현로 103,,,,,,,김영일,031-853-3773,3820000-22-2007-00006,37.7414811,127.0874353,2019-04-01,3820000,경기도 의정부시
대로충전소,경기도,의정부시,주유소,,경기도 의정부시 가금로 75,,,,,,,황형순,031-846-2206,3820000-22-2006-00009,37.7544243,127.0447759,2019-04-01,3820000,경기도 의정부시
타이어마을,경기도,의정부시,정비업소,,경기도 의정부시 비우로 51,,,,,,,현은경,031-829-0928,3820000-22-2006-00008,37.7580414,127.032376,2019-04-01,3820000,경기도 의정부시
세계세차장,경기도,의정부시,세차장,,경기도 의정부시 태평로 59,,,,,,,이정자,031-846-2646,3820000-22-2006-00006,37.7378296,127.0513543,2019-04-01,3820000,경기도 의정부시
Bob''''s Car,경기도,의정부시,정비업소,,경기도 의정부시 신흥로257번길 6,,,,,,,곽석봉,031-872-0460,3820000-22-2006-00005,37.7391654,127.042819,2019-04-01,3820000,경기도 의정부시
파인세차장,경기도,의정부시,정비업소,,경기도 의정부시 오목로 128,,,,,,,양재옥,031-852-8823,3820000-22-2006-00003,37.739055,127.0942942,2019-04-01,3820000,경기도 의정부시
스마트버블,경기도,의정부시,주유소,,경기도 의정부시 호국로1331번길 12,,,,,,,강민정,031-821-2201,3820000-22-2006-00001,37.7446417,127.0519153,2019-04-01,3820000,경기도 의정부시
씨앤에스에너지㈜장암IC주유소,경기도,의정부시,주유소,,경기도 의정부시 금신로 30,,,,,,,대표이사,031-826-5152,3820000-22-2005-00005,37.7239799,127.0631426,2019-04-01,3820000,경기도 의정부시
만도플라자의정부점,경기도,의정부시,정비업소,,경기도 의정부시 평화로 428,,,,,,,성세진,031-871-5888,3820000-22-2005-00003,37.7300889,127.0483743,2019-04-01,3820000,경기도 의정부시
신화에너지제일주유소,경기도,의정부시,주유소,,경기도 의정부시 호국로 1618,,,,,,,정석원,031-840-5188,3820000-22-2005-00002,37.7560283,127.0795618,2019-04-01,3820000,경기도 의정부시
금오주유소,경기도,의정부시,주유소,,경기도 의정부시 호국로 1582,,,,,,,박승국 외1,031-821-3939,3820000-22-2005-00001,37.7545879,127.0761413,2019-04-01,3820000,경기도 의정부시
한국타이어남부세차장,경기도,의정부시,세차장,,경기도 의정부시 범골로 125,,,,,,,유병희,031-877-8272,3820000-22-2004-00012,37.7357275,127.039148,2019-04-01,3820000,경기도 의정부시
광진주유소,경기도,의정부시,주유소,,경기도 의정부시 금신로 300,,,,,,,노훈,031-846-5151,3820000-22-2004-00009,37.7444004,127.0646928,2019-04-01,3820000,경기도 의정부시
신명셀프세차,경기도,의정부시,세차장,,경기도 의정부시 장금로 76,,,,,,,박광호,031-846-6700,3820000-22-2004-00008,37.7424733,127.0621437,2019-04-01,3820000,경기도 의정부시
㈜명연에너지 오일랜드주유소,경기도,의정부시,주유소,,경기도 의정부시 금신로 153,,,,,,,김치명,031-843-6100,3820000-22-2004-00007,37.734282,127.0660766,2019-04-01,3820000,경기도 의정부시
조은차,경기도,의정부시,정비업소,,경기도 의정부시 평화로 214,,,,,,,채수창,031-874-1116,3820000-22-2004-00004,37.7109743,127.0479946,2019-04-01,3820000,경기도 의정부시
경일세차장,경기도,의정부시,세차장,,경기도 의정부시 용민로 32,,,,,,,구영회,031-828-2672,3820000-22-2004-00003,37.7353662,127.0823817,2019-04-01,3820000,경기도 의정부시
올앤카,경기도,화성시,주유소,,경기도 화성시 봉담읍 동화북길33번길 13,,,,,,,,031-296-8877,2018-47,37.2237317901,126.9534862710,2020-04-23,5530000,경기도 화성시
동탄예일주유소,경기도,화성시,주유소,,경기도 화성시 경기동로 211,,,,,,,,031-372-3401,2018-67,37.1591580868,127.0949093483,2020-04-23,5530000,경기도 화성시
온천손세차장,경기도,화성시,주유소,,경기도 화성시 팔탄면 온천로 437,,,,,,,,031-354-4733,2018-71,37.1538178189,126.8817132869,2020-04-23,5530000,경기도 화성시
K Washer 셀프손세차,경기도,화성시,주유소,,경기도 화성시 남양읍 남양시장로24번길 1,,,,,,,,,2018-102,37.2081783011,126.8124805514,2020-04-23,5530000,경기도 화성시
화성·향남 세차광택 밧데리,경기도,화성시,세차장,,경기도 화성시 향남읍 상신하길로126번길 32,,,,,,,,,2018-106,37.1040100793,126.9018468821,2020-04-23,5530000,경기도 화성시
(주)구구에너지직영88주유소,경기도,화성시,주유소,,경기도 화성시 향남읍 삼천병마로 276,,,,,,,,031-353-8015,2018-130,37.1375444101,126.9130335052,2020-04-23,5530000,경기도 화성시
RPM세차장,경기도,화성시,주유소,,경기도 화성시 향남읍 발안만세길 163-12,,,,,,,,,2018-153,37.1380346630,126.8975595807,2020-04-23,5530000,경기도 화성시
워시아지트,경기도,화성시,주유소,,경기도 화성시 동탄치동천로3길 3-4,,,,,,,,031-8003-6860,2018-160,37.2042208878,127.1238034047,2020-04-23,5530000,경기도 화성시
D?,경기도,화성시,주유소,,경기도 화성시 삼성1로 311,,,,,,,,031-202-9799,2018-170,37.2294720196,127.0688222877,2020-04-23,5530000,경기도 화성시
대박주유소,경기도,화성시,세차장,,경기도 화성시 남양읍 남양성지로 17,,,,,,,,031-355-8905,2018-172,37.2056230543,126.8055619213,2020-04-23,5530000,경기도 화성시
오렌지셀프세차타운,경기도,의정부시,세차장,,경기도 의정부시 천보로 255,,,,,,,전인귀,031-847-0877,3820000-22-2004-00002,37.7569669,127.0796263,2019-04-01,3820000,경기도 의정부시
프로셀프세차타운,전라북도,정읍시,셀프세차장,셀프세차,전라북도 정읍시 중앙로 255 (상동),,,,,,,이인숙,,2009-004,35.5611777,126.8648409153,2020-01-31,4690000,전라북도 정읍시
내장주유소,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 금붕1길 10 (상동),,,,,,,이이선,063-532-3939,1999-215,35.5553411,126.8741990995,2020-01-31,4690000,전라북도 정읍시
북일주유소,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 북면 정읍북로 537 (화해리),,,,,,,김준영,063-535-8686,2010-002,35.6072299,126.8891805785,2020-01-31,4690000,전라북도 정읍시
SK행복주유소,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 북면 서부산업도로 697 (승부리),,,,,,,송재연,,2009-005,35.5986257,126.8762158,2020-01-31,4690000,전라북도 정읍시
공단충전소,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 북면 서부산업도로 695 (승부리),,,,,,,구금심,063-538-0099,2007-010,35.5983484828,126.8757474840,2020-01-31,4690000,전라북도 정읍시
정읍아이씨주유소,전라북도,정읍시,주유소,자동세차,"전라북도 정읍시 벚꽃로 118, 1필지 (농소동)",,,,,,,유현옥,063-538-4488,2006-011,35.5778229,126.8372759817,2020-01-31,4690000,전라북도 정읍시
연송LPG충전소,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 충정로 470 (농소동),,,,,,,이형근,063-538-7771,2008-001,35.5815258470,126.8358430779,2020-01-31,4690000,전라북도 정읍시
금성세차장,전라북도,정읍시,자동차 세차업,손세차,전라북도 정읍시 수성1로 6 (농소동),,,,,,,김길호,063-533-3272,1994-31,35.5803664,126.8491333,2020-01-31,4690000,전라북도 정읍시
기아자동차 ㈜신태인출하장,전라북도,정읍시,자동차수리 및 세차업,자동세차,전라북도 정읍시 신태인읍 석지로 693-40(우령리),,,,,,,대표이사,063-571-8305,1996-51,35.6997304863,126.8810663773,2020-01-31,4690000,전라북도 정읍시
코끼리주유소,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 서부산업도로 406 (농소동),,,,,,,황성제,063-534-6060,1996-50,35.5821513,126.8507364170,2020-01-31,4690000,전라북도 정읍시
내장가스충전소,전라북도,정읍시,주유소내 자동세차시설,자동세차,전라북도 정읍시 내장산로 21 (금붕동),,,,,,,박효자,063-535-4804,1998-132,35.5541706057,126.8758289257,2020-01-31,4690000,전라북도 정읍시
신흥에너지,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 정읍북로 50(구룡동),,,,,,,"신경식,송운규",063-536-9911,2013-001,35.5698817738,126.8654925919,2020-01-31,4690000,전라북도 정읍시
힘찬주유소,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 충정로 519 (공평동),,,,,,,양현민,063-532-5000,1999-198,35.5824082,126.8305276971,2020-01-31,4690000,전라북도 정읍시
주천삼거리주유소,전라북도,정읍시,주유소,자동세차,전라북도 정읍시 충정로 639 (공평동),,,,,,,나인기,063-532-5151,1997-119,35.5857436,126.8188559,2020-01-31,4690000,전라북도 정읍시
EDS,경기도,양주시,세차장,,경기도 양주시 백석읍 고릉말로 6,,,,,,,,031-829-3008,2003-012,37.8035653,127.0031317,2019-05-14,5590000,경기도 양주시
현일세차장,경기도,파주시,세차장,,경기도 파주시 문산읍 선유리 745-1,,,,,,,,,1992-00275,37.861864,126.799397,2019-02-28,4060000,경기도 파주시
현대프라자,경기도,파주시,정비업소,,경기도 파주시 월롱면 영태리 580-9,,,,,,,,,2001-00081,37.776838,126.788901,2019-02-28,4060000,경기도 파주시
현대오일뱅크(주)직영 현대self주유소(파주점),경기도,파주시,주유소,,경기도 파주시 조리읍 등원리 399-5,,,,,,,,,2010-00034,37.712202,126.723277,2019-02-28,4060000,경기도 파주시
현대오일뱅크(주) 직영 운정self주유소,경기도,파주시,주유소,,경기도 파주시 동패동 운정택지개발사업지구 주1블럭 74-0로트야당동 1021,,,,,,,,,2010-00032,37.751833,126.800122,2019-02-28,4060000,경기도 파주시
현대오일뱅크(주) 직영 문발Self주유소,경기도,파주시,주유소,,"경기도 파주시 문발동 232-2,-5,-6,-10",,,,,,,,,2012-00022,37.702802,126.719639,2019-02-28,4060000,경기도 파주시
제일세차장,충청남도,부여군,세차장,,충청남도 부여군 부여읍 계백로 410,,,,,,,,041-833-4115,263,36.2821761,126.9216116,2019-09-10,4570000,충청남도 부여군
부여농협주유소,충청남도,부여군,세차장,,충청남도 부여군 부여읍 백제문화로 14,,,,,,,,041-835-6372,262,36.2847769,126.930314,2019-09-10,4570000,충청남도 부여군
수정세차장,충청남도,부여군,세차장,,충청남도 부여군 부여읍 부장대로 20,,,,,,,,041-835-2442,127,36.2775018,126.9068267,2019-09-10,4570000,충청남도 부여군
장암카세차장,충청남도,부여군,세차장,,충청남도 부여군 장암면 충절로 1905,,,,,,,,041-832-5438,92,36.242093,126.881725,2019-09-10,4570000,충청남도 부여군
성우세차장,충청남도,부여군,세차장,,충청남도 부여군 은산면 충절로 2746,,,,,,,,041-837-0909,89,36.3076003,126.8588825,2019-09-10,4570000,충청남도 부여군
엄지카세차장,충청남도,부여군,세차장,,충청남도 부여군 부여읍 성왕로 356,,,,,,,,041-835-9393,5,36.2834513,126.9267283,2019-09-10,4570000,충청남도 부여군
클리어카셀프세차장,충청남도,부여군,세차장,,충청남도 부여군 규암면 흥수로 809,,,,,,,,041-836-9908,55,36.2735088,126.8702812,2019-09-10,4570000,충청남도 부여군
대교세차장,충청남도,부여군,세차장,,충청남도 부여군 부여읍 부장대로 4,,,,,,,,041-832-7414,49,36.2763123,126.9055847,2019-09-10,4570000,충청남도 부여군
평화세차장,충청남도,부여군,세차장,,충청남도 부여군 부여읍 계백로 415,,,,,,,,041-834-2040,11,36.282875,126.9218165,2019-09-10,4570000,충청남도 부여군
초원세차장,충청남도,부여군,세차장,,충청남도 부여군 부여읍 성왕로 292,,,,,,,,041-833-9588,6,36.2833408,126.9196046,2019-09-10,4570000,충청남도 부여군
한일세차장,충청남도,부여군,세차장,,충청남도 부여군 부여읍 성왕로 308,,,,,,,,041-834-4640,42948,36.2833335,126.9213132,2019-09-10,4570000,충청남도 부여군
동구네세차장,충청남도,부여군,세차장,,충청남도 부여군 부여읍 정림로 3,,,,,,,,041-836-2748,48,36.2788946,126.9065798,2019-09-10,4570000,충청남도 부여군
조양세차장,충청남도,부여군,세차장,,충청남도 부여군 규암면 계백로 84-1,,,,,,,,041-836-2020,54,36.2756107,126.8891964,2019-09-10,4570000,충청남도 부여군
충남카센타,충청남도,부여군,세차장,,충청남도 부여군 부여읍 부장대로 9,,,,,,,,041-832-8777,212,36.2768421,126.9057533,2019-09-10,4570000,충청남도 부여군
부여24시셀프세차타운,충청남도,부여군,세차장,,충청남도 부여군 부여읍 부소로 105,,,,,,,,041-834-1044,20,36.2848865,126.9230051,2019-09-10,4570000,충청남도 부여군
스피드셀프세차장,경상북도,구미시,자동차세차업,,경상북도 구미시 수출대로 525(황상동),,,,,,,,,75,36.11079834,128.4224851,2020-06-21,5080000,경상북도 구미시
비산세차장,경상북도,구미시,자동차세차업,,경상북도 구미시 신비로 137(비산동),,,,,,,,,84,36.12190227,128.376709,2020-06-21,5080000,경상북도 구미시
국제종합세차장,경상북도,구미시,자동차세차업,,경상북도 구미시 산업로 134(원평동),,,,,,,,,85,36.13075413,128.3371544,2020-06-21,5080000,경상북도 구미시
삼성세차장,경상북도,구미시,자동차세차업,,경상북도 구미시 선산읍 선산대로 1423(동부리),,,,,,,,,96,36.24188068,128.3044001094,2020-06-21,5080000,경상북도 구미시
길상세차장,경상북도,구미시,자동차세차업,,경상북도 구미시 비산로7길 7(비산동),,,,,,,,,99,36.12023424,128.3825775,2020-06-21,5080000,경상북도 구미시
사계절카랜드,경상북도,구미시,자동차세차업,,경상북도 구미시 송동로67-4(도량동),,,,,,,,,118,36.1387321,128.3235883,2020-06-21,5080000,경상북도 구미시
동구미주유소,경상북도,구미시,주유소운영업,,경상북도 구미시 3공단2로 311(임수동),,,,,,,,,120,36.10825211,128.4056109,2020-06-21,5080000,경상북도 구미시
태흥자동차정비,경상북도,구미시,세차시설,,경상북도 구미시 구미중앙로41길 4-3(원평동),,,,,,,,,121,36.12119063,128.3529991,2020-06-21,5080000,경상북도 구미시
공단주유소,경상북도,구미시,차량용주유소 운영업,,경상북도 구미시 수출대로 106(공단동),,,,,,,,,125,36.11061153,128.3759218,2020-06-21,5080000,경상북도 구미시
로타리카세차장,경상북도,구미시,자동차세차업,,경상북도 구미시 선산읍 선상서로 80(이문리),,,,,,,,,126,36.23796022,128.2935926,2020-06-21,5080000,경상북도 구미시
효성고속관광㈜,경상북도,구미시,세차시설,,경상북도 구미시 고아읍 포아로 700-3(횡산리),,,,,,,,,133,36.19750625,128.2842782,2020-06-21,5080000,경상북도 구미시
고아세차장,경상북도,구미시,자동차세차업,,경상북도 구미시 고아읍 선산대로 617(봉한리),,,,,,,,,151,36.18356061,128.3496999,2020-06-21,5080000,경상북도 구미시
그린손세차장,경상북도,경산시,운수장비 수선 및 세차 또는 세척시설,손세차,경상북도 경산시 진량읍 공단로 501-9,,,,,,,이영식,,551,35.876411,128.818011,2019-09-16,5130000,경상북도 경산시
대림셀프세차타운,경상북도,경산시,운수장비 수선 및 세차 또는 세척시설,셀프세차,경상북도 경산시 원효로40길 37 (사동),,,,,,,권오훈,053-854-5182,553,35.877648,128.761419,2019-09-16,5130000,경상북도 경산시
워시플래닛,인천광역시,동구,세차장,,인천광역시 동구 염전로 57,,,,,,,차지용,,22-2019-02,37.484055,126.650596,2019-07-30,3500000,인천광역시 동구
JP모터스,인천광역시,동구,세차장,,인천광역시 동구 방축로9번길 58-5,,,,,,,김종필,032-581-0474,22-2018-02,37.490038,126.650644,2019-07-30,3500000,인천광역시 동구
한국통운㈜송림주유소,인천광역시,동구,주유소,,인천광역시 동구 염전로 71,,,,,,,대표이사,032-773-9698,22-2016-03,37.48279287,126.6521172,2019-07-30,3500000,인천광역시 동구
갤러리주유소,인천광역시,동구,주유소,,인천광역시 동구 인중로 431,,,,,,,최운용,032-777-0200,22-2015-01,37.4871436,126.6213259,2019-07-30,3500000,인천광역시 동구
송림셀프세차,인천광역시,동구,세차장,,인천광역시 동구 송미로 47,,,,,,,송용운,,22-2013-03,37.4827451,126.6504542,2019-07-30,3500000,인천광역시 동구
㈜파오스직영송현주유소,인천광역시,동구,주유소,,인천광역시 동구 중봉대로 70,,,,,,,대표이사,032-766-1363,22-2013-02,37.4858153,126.6453007,2019-07-30,3500000,인천광역시 동구
신성셀프세차타운,인천광역시,동구,세차장,,인천광역시 동구 송미로 5,,,,,,,김수배,032-766-5537,22-2011-03,37.4807468,126.6474793,2019-07-30,3500000,인천광역시 동구
한일가스산업㈜송현충전소,인천광역시,동구,주유소,,인천광역시 동구 중봉대로 93,,,,,,,"홍순철,홍은표",032-761-5411,22-2009-01,37.4881042,126.6461922,2019-07-30,3500000,인천광역시 동구
OK 세차장,인천광역시,동구,세차장,,인천광역시 동구 화수로 1-2,,,,,,,이희창,032-764-1482,22-2008-01,37.4799648,126.6362744,2019-07-30,3500000,인천광역시 동구
KH에너지㈜직영 북항주유소,인천광역시,동구,주유소,,인천광역시 동구 중봉대로 91,,,,,,,송진수,032-772-6084,22-2006-03,37.4879577,126.6456758,2019-07-30,3500000,인천광역시 동구
㈜창조 구도일주유소 창조청라,인천광역시,동구,주유소,,인천광역시 동구 중봉대로 83,,,,,,,대표이사,032-777-8580,22-2005-01,37.4871658,126.6452921,2019-07-30,3500000,인천광역시 동구
만석주유소,인천광역시,동구,주유소,,인천광역시 동구 인중로 441,,,,,,,고계형,032-761-5149,2-186,37.4874435,126.622243,2019-07-30,3500000,인천광역시 동구
㈜자연에너지 공단주유소,인천광역시,동구,주유소,,인천광역시 동구 방축로 82,,,,,,,이희백,032-766-0972,2-141,37.4838886,126.6546567,2019-07-30,3500000,인천광역시 동구
SK에너지㈜해바라기주유소,인천광역시,동구,주유소,,인천광역시 동구 봉수대로 101,,,,,,,대표이사,032-583-5541,114,37.4848548,126.6598326,2019-07-30,3500000,인천광역시 동구
한울주유소,인천광역시,동구,주유소,,인천광역시 동구 방축로 161,,,,,,,전창현,032-582-9912,2-104,37.4809561,126.6628588,2019-07-30,3500000,인천광역시 동구
엠엔세차장,인천광역시,동구,세차장,,인천광역시 동구 방축로177번길 7,,,,,,,전명수,,2-94,37.4804454,126.6643072,2019-07-30,3500000,인천광역시 동구
송현세차장,경기도,이천시,세차장,손세차,경기도 이천시 백사면 이여로 484,없음,09:00,18:00,09:00,18:00,,노재경,,2018-21,37.3352641865,127.4865716229,2019-07-29,4070000,경기도 이천시
희망손세차장,경기도,이천시,세차장,손세차,경기도 이천시 백사면 이여로 269,없음,09:00,18:00,09:00,18:00,,권보영,,2018-20,37.3209385064,127.4707868032,2019-07-29,4070000,경기도 이천시
유워시셀프세차,경기도,이천시,셀프세차장,셀프세차,경기도 이천시 대월면 대산로 269-6,없음,09:00,18:00,09:00,18:00,,임홍섭,031-634-5550,2016-27,37.2446661971,127.4756007088,2019-07-29,4070000,경기도 이천시
모가셀프세차장,경기도,이천시,세차장,셀프세차,경기도 이천시 모가면 공원로284번길 18,없음,09:00,18:00,09:00,18:00,,민병선,031-635-0533,2014-07,37.1822532788,127.4684322905,2019-07-29,4070000,경기도 이천시
우리손세차장,경기도,이천시,세차장,손세차,경기도 이천시 대월면 대월로 881,일요일,09:00,18:00,,,,김민균,031-634-7441,2002-15,37.2339746700,127.4946233642,2019-07-29,4070000,경기도 이천시
용가리주유소,경기도,이천시,주유소,자동세차,경기도 이천시 마장면 중부대로 88,없음,09:00,18:00,09:00,18:00,,권혁태,031-636-9305,2006-13,37.2559430336,127.3459739154,2019-07-29,4070000,경기도 이천시
